微信支付账单明细,,,,,,,
微信支付账单明细,起始时间:[2026-01-01 00:00:00]  终止时间:[2026-06-30 23:59:59],,,,,,,
导出类型:[全部],,,,,,,,
导出时间:[2026-09-01 09:00:00],,,,,,,,
共4笔记录,,,,,,,
收入:0笔 0.00元,,,,,,,,
支出:4笔 120.00元,,,,,,,,
中性交易:0笔 0.00元,,,,,,,,
备注：以下是微信支付账单明细列表：,,,,,,,,
----------------------微信支付账单明细列表--------------------,,,,,,,
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-01-05 10:00:00,商户消费,测试商户,随机商品,支出,¥10.00,零钱,支付成功,420000197820260105001029,,/
2026-02-25 11:00:00,商户消费,测试商户,随机商品,支出,¥30.00,零钱,支付成功,420000197820260225001030,,/
2026-04-08 12:00:00,商户消费,测试商户,随机商品,支出,¥45.50,零钱,支付成功,420000197820260408001031,,/
2026-06-30 13:00:00,商户消费,测试商户,随机商品,支出,¥34.50,零钱,支付成功,420000197820260630001032,,/
